"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Create course","LMS service","2026-09-11","passed","2026-09-11","Create entity","Courses","",""
"","10","Get file","LMS service","2026-09-11","passed","2026-09-11","Get entities","Files","",""
"","92","Get exercises","LMS service","2026-09-11","passed","2026-09-11","Get entities","Exercises","",""
"","17","Create exercise","LMS service","2026-09-11","passed","2026-09-11","Create entity","Exercises","",""
"","249","Get exercise","LMS service","2026-09-11","passed","2026-09-11","Get entities","Exercises","",""
"","16","Get file with incorrect file id","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","20","Get course","LMS service","2026-09-11","passed","2026-09-11","Get entity","Courses","",""
"","563","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","453","Login with correct email and password","LMS service","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","307","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","615","Update course","LMS service","2026-09-11","passed","2026-09-11","Update entity","Courses","",""
"","486","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","224","Create file with empty directory","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","17","Update exercise","LMS service","2026-09-11","passed","2026-09-11","Update entity","Exercises","",""
"","9","Get user me","LMS service","2026-09-11","passed","2026-09-11","Get entity","Users","",""
"","162","Create file","LMS service","2026-09-11","passed","2026-09-11","Create entity","Files","",""
"","16","Create file with empty filename","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","22","Delete file","LMS service","2026-09-11","passed","2026-09-11","Delete entity","Files","",""
"","17","Delete exercise","LMS service","2026-09-11","passed","2026-09-11","Delete entity","Exercises","",""
