"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Get exercise","LMS service","2026-09-03","passed","2026-09-03","Get entities","Exercises","",""
"","15","Get file","LMS service","2026-09-03","passed","2026-09-03","Get entities","Files","",""
"","297","Get file with incorrect file id","LMS service","2026-09-03","broken","2026-09-03","Validate entity","Files","",""
"","299","Create file with empty filename","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
"","330","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","517","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","327","Delete file","LMS service","2026-09-03","passed","2026-09-03","Delete entity","Files","",""
"","25","Create course","LMS service","2026-09-03","passed","2026-09-03","Create entity","Courses","",""
"","24","Create file","LMS service","2026-09-03","passed","2026-09-03","Create entity","Files","",""
"","342","Get course","LMS service","2026-09-03","passed","2026-09-03","Get entity","Courses","",""
"","334","Update course","LMS service","2026-09-03","passed","2026-09-03","Update entity","Courses","",""
"","17","Update exercise","LMS service","2026-09-03","passed","2026-09-03","Update entity","Exercises","",""
"","22","Create exercise","LMS service","2026-09-03","passed","2026-09-03","Create entity","Exercises","",""
"","23","Delete exercise","LMS service","2026-09-03","passed","2026-09-03","Delete entity","Exercises","",""
"","612","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","624","Login with correct email and password","LMS service","2026-09-03","passed","2026-09-03","Login","Authentication","",""
"","15","Get exercises","LMS service","2026-09-03","passed","2026-09-03","Get entities","Exercises","",""
"","13","Get user me","LMS service","2026-09-03","passed","2026-09-03","Get entity","Users","",""
"","304","Create file with empty directory","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
