"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Create course","LMS service","2026-09-03","passed","2026-09-03","Create entity","Courses","",""
"","15","Get file","LMS service","2026-09-03","passed","2026-09-03","Get entities","Files","",""
"","23","Create file","LMS service","2026-09-03","passed","2026-09-03","Create entity","Files","",""
"","48","Get course","LMS service","2026-09-03","passed","2026-09-03","Get entity","Courses","",""
"","15","Update exercise","LMS service","2026-09-03","passed","2026-09-03","Update entity","Exercises","",""
"","18","Get exercises","LMS service","2026-09-03","passed","2026-09-03","Get entities","Exercises","",""
"","20","Create exercise","LMS service","2026-09-03","passed","2026-09-03","Create entity","Exercises","",""
"","10","Get user me","LMS service","2026-09-03","passed","2026-09-03","Get entity","Users","",""
"","508","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","17","Delete exercise","LMS service","2026-09-03","passed","2026-09-03","Delete entity","Exercises","",""
"","445","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","20","Create file with empty directory","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
"","244","Get file with incorrect file id","LMS service","2026-09-03","broken","2026-09-03","Validate entity","Files","",""
"","524","Login with correct email and password","LMS service","2026-09-03","passed","2026-09-03","Login","Authentication","",""
"","18","Delete file","LMS service","2026-09-03","passed","2026-09-03","Delete entity","Files","",""
"","16","Get exercise","LMS service","2026-09-03","passed","2026-09-03","Get entities","Exercises","",""
"","22","Create file with empty filename","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
"","290","Update course","LMS service","2026-09-03","passed","2026-09-03","Update entity","Courses","",""
"","502","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
