"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","945","Get file with incorrect file id","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","11","Get user me","LMS service","2026-09-11","passed","2026-09-11","Get entity","Users","",""
"","299","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","566","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","273","Create file with empty filename","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","293","Login with correct email and password","LMS service","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","19","Get exercise","LMS service","2026-09-11","passed","2026-09-11","Get entities","Exercises","",""
"","109","Delete exercise","LMS service","2026-09-11","passed","2026-09-11","Delete entity","Exercises","",""
"","19","Delete file","LMS service","2026-09-11","passed","2026-09-11","Delete entity","Files","",""
"","273","Create file with empty directory","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","23","Create exercise","LMS service","2026-09-11","passed","2026-09-11","Create entity","Exercises","",""
"","290","Get file","LMS service","2026-09-11","passed","2026-09-11","Get entities","Files","",""
"","27","Create course","LMS service","2026-09-11","passed","2026-09-11","Create entity","Courses","",""
"","27","Create file","LMS service","2026-09-11","passed","2026-09-11","Create entity","Files","",""
"","907","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","13","Get exercises","LMS service","2026-09-11","passed","2026-09-11","Get entities","Exercises","",""
"","17","Update exercise","LMS service","2026-09-11","passed","2026-09-11","Update entity","Exercises","",""
"","304","Update course","LMS service","2026-09-11","passed","2026-09-11","Update entity","Courses","",""
"","295","Get course","LMS service","2026-09-11","passed","2026-09-11","Get entity","Courses","",""
