"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Create file with empty filename","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","559","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","536","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","21","Get exercise","LMS service","2026-09-11","passed","2026-09-11","Get entities","Exercises","",""
"","28","Create file","LMS service","2026-09-11","passed","2026-09-11","Create entity","Files","",""
"","28","Create course","LMS service","2026-09-11","passed","2026-09-11","Create entity","Courses","",""
"","27","Create exercise","LMS service","2026-09-11","passed","2026-09-11","Create entity","Exercises","",""
"","269","Create file with empty directory","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","296","Update course","LMS service","2026-09-11","passed","2026-09-11","Update entity","Courses","",""
"","557","Login with correct email and password","LMS service","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","290","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","262","Get file with incorrect file id","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","23","Get exercises","LMS service","2026-09-11","passed","2026-09-11","Get entities","Exercises","",""
"","21","Delete exercise","LMS service","2026-09-11","passed","2026-09-11","Delete entity","Exercises","",""
"","306","Get course","LMS service","2026-09-11","passed","2026-09-11","Get entity","Courses","",""
"","22","Update exercise","LMS service","2026-09-11","passed","2026-09-11","Update entity","Exercises","",""
"","12","Get user me","LMS service","2026-09-11","passed","2026-09-11","Get entity","Users","",""
"","289","Get file","LMS service","2026-09-11","passed","2026-09-11","Get entities","Files","",""
"","22","Delete file","LMS service","2026-09-11","passed","2026-09-11","Delete entity","Files","",""
