"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","233","Create file with empty filename","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","10","Get file","LMS service","2026-09-11","passed","2026-09-11","Get entities","Files","",""
"","13","Create exercise","LMS service","2026-09-11","passed","2026-09-11","Create entity","Exercises","",""
"","29","Delete exercise","LMS service","2026-09-11","passed","2026-09-11","Delete entity","Exercises","",""
"","12","Get file with incorrect file id","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","18","Create course","LMS service","2026-09-11","passed","2026-09-11","Create entity","Courses","",""
"","468","Login with correct email and password","LMS service","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","12","Get exercises","LMS service","2026-09-11","passed","2026-09-11","Get entities","Exercises","",""
"","18","Update exercise","LMS service","2026-09-11","passed","2026-09-11","Update entity","Exercises","",""
"","463","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","14","Get exercise","LMS service","2026-09-11","passed","2026-09-11","Get entities","Exercises","",""
"","75","Update course","LMS service","2026-09-11","passed","2026-09-11","Update entity","Courses","",""
"","192","Create file","LMS service","2026-09-11","passed","2026-09-11","Create entity","Files","",""
"","229","Create file with empty directory","LMS service","2026-09-11","passed","2026-09-11","Validate entity","Files","",""
"","256","Get course","LMS service","2026-09-11","passed","2026-09-11","Get entity","Courses","",""
"","476","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","509","Delete file","LMS service","2026-09-11","passed","2026-09-11","Delete entity","Files","",""
"","252","Create user","LMS service","2026-09-11","passed","2026-09-11","Create entity","Users","",""
"","17","Get user me","LMS service","2026-09-11","passed","2026-09-11","Get entity","Users","",""
