"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Create exercise","LMS service","2026-09-09","passed","2026-09-09","Create entity","Exercises","",""
"","88","Get course","LMS service","2026-09-09","passed","2026-09-09","Get entity","Courses","",""
"","26","Delete file","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Files","",""
"","301","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","298","Login with correct email and password","LMS service","2026-09-09","passed","2026-09-09","Login","Authentication","",""
"","54","Create course","LMS service","2026-09-09","passed","2026-09-09","Create entity","Courses","",""
"","30","Create file","LMS service","2026-09-09","passed","2026-09-09","Create entity","Files","",""
"","625","Update course","LMS service","2026-09-09","passed","2026-09-09","Update entity","Courses","",""
"","280","Create file with empty filename","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","12","Get user me","LMS service","2026-09-09","passed","2026-09-09","Get entity","Users","",""
"","284","Get file with incorrect file id","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","550","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","582","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","16","Get exercise","LMS service","2026-09-09","passed","2026-09-09","Get entities","Exercises","",""
"","13","Get exercises","LMS service","2026-09-09","passed","2026-09-09","Get entities","Exercises","",""
"","279","Update exercise","LMS service","2026-09-09","passed","2026-09-09","Update entity","Exercises","",""
"","279","Create file with empty directory","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","300","Get file","LMS service","2026-09-09","passed","2026-09-09","Get entities","Files","",""
"","24","Delete exercise","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Exercises","",""
