"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","517","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","237","Get file with incorrect file id","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
"","13","Get exercises","LMS service","2026-09-03","passed","2026-09-03","Get entities","Exercises","",""
"","248","Get file","LMS service","2026-09-03","passed","2026-09-03","Get entities","Files","",""
"","267","Update exercise","LMS service","2026-09-03","passed","2026-09-03","Update entity","Exercises","",""
"","289","Create file","LMS service","2026-09-03","passed","2026-09-03","Create entity","Files","",""
"","259","Get course","LMS service","2026-09-03","passed","2026-09-03","Get entity","Courses","",""
"","234","Create file with empty directory","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
"","12","Get exercise","LMS service","2026-09-03","passed","2026-09-03","Get entities","Exercises","",""
"","484","Login with correct email and password","LMS service","2026-09-03","passed","2026-09-03","Login","Authentication","",""
"","9","Get user me","LMS service","2026-09-03","passed","2026-09-03","Get entity","Users","",""
"","458","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","78","Create exercise","LMS service","2026-09-03","passed","2026-09-03","Create entity","Exercises","",""
"","16","Create file with empty filename","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
"","29","Delete exercise","LMS service","2026-09-03","passed","2026-09-03","Delete entity","Exercises","",""
"","593","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","361","Delete file","LMS service","2026-09-03","passed","2026-09-03","Delete entity","Files","",""
"","60","Create course","LMS service","2026-09-03","passed","2026-09-03","Create entity","Courses","",""
"","280","Update course","LMS service","2026-09-03","passed","2026-09-03","Update entity","Courses","",""
