"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get file","LMS service","2026-09-09","passed","2026-09-09","Get entities","Files","",""
"","623","Login with correct email and password","LMS service","2026-09-09","passed","2026-09-09","Login","Authentication","",""
"","337","Delete file","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Files","",""
"","336","Update course","LMS service","2026-09-09","passed","2026-09-09","Update entity","Courses","",""
"","17","Get exercises","LMS service","2026-09-09","passed","2026-09-09","Get entities","Exercises","",""
"","619","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","30","Create course","LMS service","2026-09-09","passed","2026-09-09","Create entity","Courses","",""
"","600","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","19","Update exercise","LMS service","2026-09-09","passed","2026-09-09","Update entity","Exercises","",""
"","301","Create file with empty filename","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","17","Delete exercise","LMS service","2026-09-09","passed","2026-09-09","Delete entity","Exercises","",""
"","12","Get user me","LMS service","2026-09-09","passed","2026-09-09","Get entity","Users","",""
"","19","Get exercise","LMS service","2026-09-09","passed","2026-09-09","Get entities","Exercises","",""
"","25","Create file","LMS service","2026-09-09","passed","2026-09-09","Create entity","Files","",""
"","314","Get file with incorrect file id","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","302","Create file with empty directory","LMS service","2026-09-09","passed","2026-09-09","Validate entity","Files","",""
"","331","Get course","LMS service","2026-09-09","passed","2026-09-09","Get entity","Courses","",""
"","324","Create user","LMS service","2026-09-09","passed","2026-09-09","Create entity","Users","",""
"","23","Create exercise","LMS service","2026-09-09","passed","2026-09-09","Create entity","Exercises","",""
